Field,Label,Value
resource_3_format,File Format,SHP
resource_3_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/polygons/hotosm_ven_airports_polygons_shp.zip
resource_3_id,Resource ID,ae1ada2f-e505-405d-82fb-dd925af59f1a
resource_3_last_modified,Updated,2024-09-15T01:34:39.158240
resource_3_metadata_modified,Metadata Updated,2024-09-15T01:38:20.212201
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_3_resource_type,Resource Type,api
resource_3_name,Resource Name,hotosm_ven_airports_polygons_shp.zip
resource_3_mimetype,MIME Type,
resource_3_size,Size,164.4K
resource_4_created,Created,2019-12-06T09:03:25.621225
resource_4_description,Description,KML
resource_4_format,File Format,KML
resource_4_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/points/hotosm_ven_airports_points_kml.zip
resource_4_id,Resource ID,bc586688-19c1-4464-a5d6-e30c1d55b6b0
resource_4_last_modified,Updated,2024-09-15T01:34:39.158283
resource_4_metadata_modified,Metadata Updated,2024-09-15T01:38:17.629714
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_4_resource_type,Resource Type,api
resource_4_name,Resource Name,hotosm_ven_airports_points_kml.zip
resource_4_mimetype,MIME Type,
resource_4_size,Size,20.3K
resource_5_created,Created,2019-12-06T09:03:25.621229
resource_5_description,Description,KML
resource_5_format,File Format,KML
resource_5_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/lines/hotosm_ven_airports_lines_kml.zip
resource_5_id,Resource ID,1f5fb71f-bfdc-4453-b8e7-1aaa0b80f8da
resource_5_last_modified,Updated,2024-09-15T01:34:39.158328
resource_5_metadata_modified,Metadata Updated,2024-09-15T01:38:19.281018
resource_5_microdata,Microdata,False
resource_5_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_5_resource_type,Resource Type,api
resource_5_name,Resource Name,hotosm_ven_airports_lines_kml.zip
resource_5_mimetype,MIME Type,
resource_5_size,Size,104.3K
resource_6_created,Created,2019-12-06T09:03:25.621233
resource_6_description,Description,KML
resource_6_format,File Format,KML
resource_6_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/polygons/hotosm_ven_airports_polygons_kml.zip
resource_6_id,Resource ID,1a56220d-a8da-4647-b0a6-03dcf175ea66
resource_6_last_modified,Updated,2024-09-15T01:34:39.158370
resource_6_metadata_modified,Metadata Updated,2024-09-15T01:38:22.160305
resource_6_microdata,Microdata,False
resource_6_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_6_resource_type,Resource Type,api
resource_6_name,Resource Name,hotosm_ven_airports_polygons_kml.zip
resource_6_mimetype,MIME Type,
resource_6_size,Size,102.4K
resource_7_created,Created,2024-01-23T11:43:45.087699
resource_7_description,Description,GeoJSON
resource_7_format,File Format,GeoJSON
resource_7_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/points/hotosm_ven_airports_points_geojson.zip
resource_7_id,Resource ID,ae54c52a-3a09-46ea-b5be-609661f3a046
resource_7_last_modified,Updated,2024-09-15T01:34:39.158415
resource_7_metadata_modified,Metadata Updated,2024-09-15T01:38:24.676751
resource_7_microdata,Microdata,False
resource_7_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_7_resource_type,Resource Type,api
resource_7_name,Resource Name,hotosm_ven_airports_points_geojson.zip
resource_7_mimetype,MIME Type,
resource_7_size,Size,21.0K
resource_8_created,Created,2024-01-23T11:43:45.087705
resource_8_description,Description,GeoJSON
resource_8_format,File Format,GeoJSON
resource_8_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/lines/hotosm_ven_airports_lines_geojson.zip
resource_8_id,Resource ID,7ebf77f6-0dbd-4dea-a227-e8a6f75930a0
resource_8_last_modified,Updated,2024-09-15T01:34:39.158453
resource_8_metadata_modified,Metadata Updated,2024-09-15T01:38:25.957953
resource_8_microdata,Microdata,False
resource_8_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_8_resource_type,Resource Type,api
resource_8_name,Resource Name,hotosm_ven_airports_lines_geojson.zip
resource_8_mimetype,MIME Type,
resource_8_size,Size,106.1K
resource_9_created,Created,2024-01-23T11:43:45.087709
resource_9_description,Description,GeoJSON
resource_9_format,File Format,GeoJSON
resource_9_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/polygons/hotosm_ven_airports_polygons_geojson.zip
resource_9_id,Resource ID,aed42e13-e9b6-420b-b7d2-b2d54be4b272
resource_9_last_modified,Updated,2024-09-15T01:34:39.158501
resource_9_metadata_modified,Metadata Updated,2024-09-15T01:38:26.941159
resource_9_microdata,Microdata,False
resource_9_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_9_resource_type,Resource Type,api
resource_9_name,Resource Name,hotosm_ven_airports_polygons_geojson.zip
resource_9_mimetype,MIME Type,
resource_9_size,Size,104.9K
resource_10_created,Created,2024-06-03T17:55:28.468876
resource_10_description,Description,GPKG
resource_10_format,File Format,Geopackage
resource_10_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/points/hotosm_ven_airports_points_gpkg.zip
resource_10_id,Resource ID,e9cd56a2-0e09-42ff-a30c-10855690ce03
resource_10_last_modified,Updated,2024-09-15T01:34:39.158547
resource_10_metadata_modified,Metadata Updated,2024-09-15T01:34:41.091772
resource_10_microdata,Microdata,False
resource_10_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_10_resource_type,Resource Type,api
resource_10_name,Resource Name,hotosm_ven_airports_points_gpkg.zip
resource_10_mimetype,MIME Type,
resource_10_size,Size,28.7K
resource_11_created,Created,2024-06-03T17:55:28.468883
resource_11_description,Description,GPKG
resource_11_format,File Format,Geopackage
resource_11_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/lines/hotosm_ven_airports_lines_gpkg.zip
resource_11_id,Resource ID,789825de-c09e-41cb-8c93-2525d410c59e
resource_11_last_modified,Updated,2024-09-15T01:34:39.158589
resource_11_metadata_modified,Metadata Updated,2024-09-15T01:34:41.091944
resource_11_microdata,Microdata,False
resource_11_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_11_resource_type,Resource Type,api
resource_11_name,Resource Name,hotosm_ven_airports_lines_gpkg.zip
resource_11_mimetype,MIME Type,
resource_11_size,Size,177.9K
resource_12_created,Created,2024-06-03T17:55:28.468886
resource_12_description,Description,GPKG
resource_12_format,File Format,Geopackage
resource_12_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/polygons/hotosm_ven_airports_polygons_gpkg.zip
resource_12_id,Resource ID,28839266-5cb1-433c-9296-4d41aef12226
resource_12_last_modified,Updated,2024-09-15T01:34:39.158626
resource_12_metadata_modified,Metadata Updated,2024-09-15T01:34:41.092093
resource_12_microdata,Microdata,False
resource_12_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_12_resource_type,Resource Type,api
resource_12_name,Resource Name,hotosm_ven_airports_polygons_gpkg.zip
resource_12_mimetype,MIME Type,
resource_12_size,Size,167.1K
